"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW4";"SW_SPST_B3U-1000P-B";1;"SW_PMIC_PONKEYN";;;
2;"SW3";"SW_SPST_B3U-1000P-B";1;"SW_BOOT2";;;
3;"SW2";"SW_SPST_B3U-1000P-B";1;"SW_NRST";;;
4;"SW1";"SW_SPST_B3U-1000P-B";1;"SW_BOOT0";;;
5;"R9,R13,R12,R10,R4,R3";"R_0201_0603Metric";6;"0";;;
6;"P1";"HRS_DF40C-50DS-0.4V(51)";1;"DF40C-50DS-0.4V(51)";;;
7;"U1";"OSD32MP15x_BGA-302_19.0x19.0mm_Layout18x18_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD";1;"OSD32MP157C-512M-BAA";;;
8;"J3";"473521001";1;"473521001";;;
9;"C8,C4";"C_0201_0603Metric";2;"10n";;;
10;"R2,R1,R7";"R_0201_0603Metric";3;"1k";;;
11;"C2";"C_0201_0603Metric";1;"100n";;;
12;"J5,J4";"USB_Micro-B_GCT_USB3076-30-A";2;"USB_B_Micro";;;
13;"J7,J8";"PinHeader_1x16_P1.27mm_Vertical";2;"Conn_01x16";;;
14;"J2,J1";"HRS_DF40C-80DS-0.4V(51)";2;"Conn_02x40_Odd_Even";;;
15;"H1,H2,H4";"MountingHole_2.2mm_M2";3;"MountingHole";;;
